id;title;status;release_date;revenue;runtime;adult;budget;imdb_id;original_language;original_title;genre;averageRating;year;nominees;awards;ROI
27205;Inception;Released;15/07/2010;825532764;148;FALSO;160000000;tt1375666;en;Inception;Action;88;2010.0;8.0;4.0;5.159579775
157336;Interstellar;Released;05/11/2014;701729206;169;FALSO;165000000;tt0816692;en;Interstellar;Adventure;87;2014.0;5.0;1.0;4.252904278787879
155;The Dark Knight;Released;16/07/2008;1004558444;152;FALSO;185000000;tt0468569;en;The Dark Knight;Drama;91;2008.0;8.0;2.0;5.430045643243243
19995;Avatar;Released;15/12/2009;2923706026;162;FALSO;237000000;tt0499549;en;Avatar;Action;79;2009.0;9.0;3.0;12.336312345991562
24428;The Avengers;Released;25/04/2012;1518815515;143;FALSO;220000000;tt0848228;en;The Avengers;Science Fiction;80;2012.0;1.0;0.0;6.903706886363636
293660;Deadpool;Released;09/02/2016;783100000;108;FALSO;58000000;tt1431045;en;Deadpool;Action;80;2016.0;0.0;0.0;13.501724137931035
299536;Avengers: Infinity War;Released;25/04/2018;2052415039;149;FALSO;300000000;tt4154756;en;Avengers: Infinity War;Adventure;84;2018.0;1.0;0.0;6.841383463333333
550;Fight Club;Released;15/10/1999;100853753;139;FALSO;63000000;tt0137523;en;Fight Club;Drama;88;1999.0;1.0;0.0;1.6008532222222223
118340;Guardians of the Galaxy;Released;30/07/2014;772776600;121;FALSO;170000000;tt2015381;en;Guardians of the Galaxy;Action;80;2014.0;2.0;0.0;4.545744705882353
680;Pulp Fiction;Released;10/09/1994;213900000;154;FALSO;8500000;tt0110912;en;Pulp Fiction;Thriller;88;1994.0;7.0;1.0;25.16470588235294
13;Forrest Gump;Released;23/06/1994;677387716;142;FALSO;55000000;tt0109830;en;Forrest Gump;Comedy;88;1994.0;13.0;6.0;12.316140290909091
671;Harry Potter and the Philosopher's Stone;Released;16/11/2001;976475550;152;FALSO;125000000;tt0241527;en;Harry Potter and the Philosopher's Stone;Adventure;77;2001.0;3.0;0.0;7.8118044
1726;Iron Man;Released;30/04/2008;585174222;126;FALSO;140000000;tt0371746;en;Iron Man;Action;79;2008.0;2.0;0.0;4.179815871428572
68718;Django Unchained;Released;25/12/2012;425368238;165;FALSO;100000000;tt1853728;en;Django Unchained;Drama;85;2012.0;5.0;2.0;4.25368238
