Posicion;Jugadora
1;A. Sabalenka
2;E. Rybakina
3;C. Gauff
4;I. Swiatek
5;J. Pegula
6;A. Anisimova
7;E. Svitolina
8;J. Paolini
9;M. Andreeva
10;V. Mboko
11;B. Bencic
12;K. Muchova
13;E. Alexandrova
14;L. Noskova
15;N. Osaka
16;I. Jovic
17;M. Keys
18;C. Tauson
19;D. Shnaider
20;E. Mertens
21;L. Samsonova
22;J. Ostapenko
23;A. Kalinskaya
24;M. Bouzkova
25;L. Fernandez
26;S. Cirstea
27;E. Navarro
28;M. Kostyuk
29;E. Raducanu
30;M. Joint
31;C. Bucsa
32;X. Wang
33;J. Cristian
34;S. Bejlek
35;H. Baptiste
36;A. Li
37;Q. Zheng
38;M. Sakkari
39;M. Frech
40;J. Tjen
41;E. Cocciaretto
42;K. Siniakova
43;P. Stearns
44;L. Boisson
45;A. Eala
46;M. Vondrousova
47;J. Bouzas
48;M. Kessler
49;D. Yastremska
50;T. Valentova
51;L. Siegemund
52;B. Krejcikova
53;Y. Starodubtseva
54;A. Potapova
55;S. 
56;M. Linette
57;T. Gibson
58;A. Ruzic
59;E. Jacquemot
60;E. Ruse
61;V. Kudermetova
62;T. Maria
63;K. Boulter
64;A. Bondar
65;S. Zhang
66;D. Vekic
67;S. Kenin
68;B. Haddad
69;O. Oliynykova
70;C. Mcnally
71;D. Kasatkina
72;P. Udvardy
73;K. Rakhimova
74;O. Selekhmeteva
75;A. Zakharova
76;Y. Putintseva
77;E. Lys
78;Z. Sonmez
79;P. Marcinko
80;V. Golubic
81;K. Birrell
82;C. Osorio
83;R. Zarazua
84;A. Tomljanovic
85;S. Sorribes
86;M. Uchijima
87;E. Seidel
88;E. Arango
89;K. Volynets
90;J. Teichmann
91;S. Sierra
92;A. Blinkova
93;S. Waltert
94;D. Galfi
95;T. Townsend
96;A. Parks
97;D. Kovinic
98;N. Bartunkova
99;A. Kalinina
100;L. Tagger
101;H. Vandewinkel
102;J. Grabher
103;D. Parry
104;D. Snigur
R;F. Jones
R;V. Erjavec
;M. Sherif
;P. Badosa
;K. Juvan
;L. Sun
;A. Krueger
;A. Sasnovich
;O. Dodin
;V. Jimenez
;O. 
;Y. Yuan
;L. Tararudee
;D. Semenistaja
;D. Vidmanova
;A. Pavlyuchenkova
;S. Lamens
;S. Kraus
;A. Korneeva
;R. Sramkova
;D. Salkova
;R. Masarova
;M. Stakusic
;T. Zidansek
;L. Jeanjean
;M. Trevisan
;B. Andreescu
;M. Chwalinska
;S. Stephens
;A. Charaeva
;D. Collins
;H. Sakatsume
;E. Jones
;S. Costoulas
;"T. Rakotomanga
Rajaonah"
;L. Zhu
;R. Montgomery
;E. Kalieva
;P. Hon
;P. Kudermetova
;M. Inglis
;A. Rus
;C. Dolehide
;L. Fruhvirtova
;K. Quevedo
;J. Garland
;L. Radivojevic
;A. Lazaro
;L. Stefanini
;V. Lepchenko
;G. Minnen
;T. Preston
;N. Brancaccio
;M. Timofeeva
;L. Pigato
;L. Klimovicova
;V. Tomova
;T. Prozorova
;K. Day
;A. Koevermans
;D. Papamichail
;K. Kawa
;T. Kostovic
;P. Iatcenko
;L. Bronzetti
