Orden;Combinada
1;Sabalenka A.
2;Siniakova K.
3;Masarova R.
4;Ruzic A.
5;Krueger A.
6;Osorio C.
7;Yastremska D.
8;Bucsa C.
9;Wang X.
10;Townsend T.
11;Jones F.
12;Li A.
13;Yuan Y.
14;Golubic V.
15;Potapova A.
16;Alexandrova E.
17;Osaka N.
18;Boulter K.
19;Pavlyuchenkova A.
20;Zhang S.
21;Zarazua R.
22;Parks A.
23;Bondar A.
24;Keys M.
25;Raducanu E.
26;Kudermetova V.
27;Siegemund L.
28;Zidansek T.
29;Baptiste H.
30;Kalinina A.
31;Jimenez V.
32;Paolini J.
33;Swiatek I.
34;Oliynykova O.
35;Vidmanova D.
36;Tjen J.
37;Bejlek S.
38;Lamens S.
39;Dodin O.
40;Samsonova L.
41;Kalinskaya A.
42;Jacquemot E.
43;Salkova D.
44;Waltert S.
45;Sherif M.
46;Teichmann J.
47;Blinkova A.
48;Bencic B.
49;Jovic I.
50;Udvardy P.
51;Erjavec V.
52;Kenin S.
53;Tomljanovic A.
54;Galfi D.
55;Kasatkina D.
56;Ostapenko J.
57;Mertens E.
58;Zheng Q.
59;Selekhmeteva O.
60;Semenistaja D.
61;Sasnovich A.
62;Volynets K.
63;Zakharova A.
64;Anisimova A.
65;Svitolina E.
66;Tararudee L.
67; S.
68;Sorribes S.
69;Snigur D.
70;Linette M.
71;Uchijima M.
72;Navarro E.
73;Cirstea S.
74;Rakhimova K.
75;Kovinic D.
76;Valentova T.
77;Tagger L.
78;Frech M.
79;Arango E.
80;Muchova K.
81;Mboko V.
82;Bouzas J.
83;Korneeva A.
84;Bartunkova N.
85;Grabher J.
86;Maria T.
87;Juvan K.
88;Shnaider D.
89;Bouzkova M.
90;Cocciaretto E.
91;Gibson T.
92;Marcinko P.
93;Mcnally C.
94;Parry D.
95;Stearns P.
96;Gauff C.
97;Pegula J.
98; O.
99;Kessler M.
100;Vandewinkel H.
101;Sierra S.
102;Sakkari M.
103;Vekic D.
104;Kostyuk M.
105;Tauson C.
106;Sun L.
107;Lys E.
108;Sonmez Z.
109;Eala A.
110;Birrell K.
111;Boisson L.
112;Noskova L.
113;Andreeva M.
114;Vondrousova M.
115;Sramkova R.
116;Ruse E.
117;Krejcikova B.
118;Stakusic M.
119;Putintseva Y.
120;Fernandez L.
121;Joint M.
122;Seidel E.
123;Kraus S.
124;Starodubtseva Y.
125;Cristian J.
126;Haddad B.
127;Badosa P.
128;Rybakina E.
