match_id,date,odd_1,odd_2,surface,round,tournament_type,rank_diff,wins2meses_p1,wins2meses_p2,ratio_superficie_p1,ratio_superficie_p2,h2h,ratio_ronda_p1,ratio_ronda_p2,experiencia_p1,experiencia_p2,target,is_new_p1,is_new_p2
29,2006-12-31,0.1856677524429967,0.8143322475570033,Hard,1st Round,WTA250_o_menor,545.0,0.0,0.0,0.4,0.4,0.5,0.4,0.4,0,0,0,1,1
30,2006-12-31,0.5585106382978724,0.4414893617021276,Hard,1st Round,WTA250_o_menor,-80.0,0.0,0.0,0.4,0.4,0.5,0.4,0.4,0,0,1,1,1
31,2006-12-31,0.4623655913978494,0.5376344086021505,Hard,1st Round,WTA250_o_menor,18.0,0.0,0.0,0.4,0.4,0.5,0.4,0.4,0,0,0,1,1
32,2006-12-31,0.8575197889182057,0.1424802110817942,Hard,1st Round,WTA250_o_menor,-42.0,0.0,0.0,0.4,0.4,0.5,0.4,0.4,0,0,1,1,1
33,2006-12-31,0.4109947643979057,0.5890052356020942,Hard,1st Round,WTA250_o_menor,3.0,0.0,0.0,0.4,0.4,0.5,0.4,0.4,0,0,0,1,1
34,2006-12-31,0.1856677524429967,0.8143322475570033,Hard,1st Round,WTA250_o_menor,158.0,0.0,0.0,0.4,0.4,0.5,0.4,0.4,0,0,1,1,1
2390,2008-01-01,0.625,0.375,Hard,1st Round,WTA250_o_menor,-59.0,0.0,0.0,0.09090909090909091,0.0,0.5,0.19047619047619047,0.0,28,3,1,0,1
2391,2008-01-01,0.1035856573705179,0.896414342629482,Hard,1st Round,WTA250_o_menor,303.0,0.0,0.6666666666666666,0.4,0.6578947368421053,0.5,0.4,0.8333333333333334,0,42,0,1,0
2392,2008-01-01,0.6752941176470588,0.3247058823529411,Hard,1st Round,WTA250_o_menor,23.0,0.0,0.0,0.4166666666666667,0.22727272727272727,0.5,0.42857142857142855,0.4230769230769231,37,43,1,0,0
2393,2008-01-01,0.7322175732217574,0.2677824267782427,Hard,1st Round,WTA250_o_menor,-36.0,0.0,0.0,0.375,0.5714285714285714,0.5,0.56,0.5714285714285714,46,17,0,0,0
2394,2008-01-01,0.4623655913978494,0.5376344086021505,Hard,1st Round,WTA250_o_menor,-17.0,0.0,0.0,0.3076923076923077,0.5555555555555556,0.5,0.36363636363636365,0.5714285714285714,16,12,1,0,0
2395,2008-01-01,0.204946996466431,0.7950530035335689,Hard,1st Round,WTA250_o_menor,234.0,0.0,0.0,0.4,0.16666666666666666,0.5,0.4,0.2,0,6,0,1,1
2396,2008-01-01,0.75,0.25,Hard,1st Round,WTA250_o_menor,-50.0,0.0,0.0,0.5909090909090909,0.4,0.5,0.5384615384615384,0.5294117647058824,55,30,1,0,0
2397,2008-01-01,0.3119266055045871,0.6880733944954128,Hard,2nd Round,WTA250_o_menor,35.0,0.0,1.0,0.4166666666666667,0.5294117647058824,0.5,0.45454545454545453,0.3,37,30,0,0,0
2398,2008-01-01,0.7950530035335689,0.204946996466431,Hard,2nd Round,WTA250_o_menor,-76.0,0.6666666666666666,0.0,0.6578947368421053,0.3076923076923077,0.5,0.8333333333333334,0.3333333333333333,42,16,1,0,0
2399,2008-01-02,0.1447368421052631,0.8552631578947368,Hard,2nd Round,WTA250_o_menor,-38.0,1.0,1.0,0.4230769230769231,0.9333333333333333,0.5,0.4,1.0,47,15,0,0,0
2400,2008-01-02,0.3967927631578947,0.6032072368421053,Hard,2nd Round,WTA250_o_menor,12.0,1.0,1.0,0.625,0.8,0.5,0.75,0.2,18,14,1,0,0
2401,2008-01-02,0.582901554404145,0.4170984455958549,Hard,2nd Round,WTA250_o_menor,-86.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.5,0.16666666666666666,0.0,21,7,0,0,1
2402,2008-01-02,0.3357487922705314,0.6642512077294687,Hard,2nd Round,WTA250_o_menor,48.0,1.0,1.0,0.16666666666666666,0.5,0.0,0.5,0.4117647058823529,29,53,1,0,0
2403,2008-01-02,0.25,0.75,Hard,2nd Round,WTA250_o_menor,38.0,1.0,0.0,0.45454545454545453,0.53125,0.5,0.3333333333333333,0.6923076923076923,21,50,0,0,0
2404,2008-01-02,0.7950530035335689,0.204946996466431,Hard,2nd Round,WTA250_o_menor,-38.0,1.0,1.0,0.6,0.4166666666666667,0.5,0.5333333333333333,0.375,56,24,1,0,0
2405,2008-01-02,0.5890052356020942,0.4109947643979057,Hard,Quarterfinals,WTA250_o_menor,-16.0,1.0,1.0,0.6,0.5555555555555556,0.5,0.5,0.4,56,31,0,0,0
2406,2008-01-03,0.1691842900302115,0.8308157099697885,Hard,Quarterfinals,WTA250_o_menor,131.0,1.0,0.6666666666666666,0.375,0.675,0.5,0.4,0.5,8,44,1,1,0
2407,2008-01-03,0.1169977924944812,0.8830022075055188,Hard,Quarterfinals,WTA250_o_menor,-3.0,1.0,1.0,0.6666666666666666,0.9375,0.0,1.0,1.0,19,16,0,0,0
