"Tournament","Date","Surface","Round","Player_1","Player_2","Winner","Rank_1","Rank_2","Score"
"Rabat","2026-05-21","Clay","Quarterfinals","Kalinina A.","Bondar A.","Kalinina A.","84.0","58.0","6-4 7-5"
"Rabat","2026-05-21","Clay","Quarterfinals","Teichmann J.","Kabbaj Y.","Teichmann J.","207.0","334.0","6-1 5-7 7-6(6)"
"Rabat","2026-05-21","Clay","Quarterfinals","Bouzas Maneiro J.","Marcinko P.","Marcinko P.","51.0","76.0","6-3 6-4"
"Rabat","2026-05-21","Clay","Quarterfinals","Osorio C.","Udvardy P.","Udvardy P.","77.0","68.0","7-5 6-3"
"Strasbourg","2026-05-21","Clay","Quarterfinals","Navarro E.","Zhang S.","Navarro E.","39.0","74.0","2-6 7-6(5) 6-2"
"Strasbourg","2026-05-21","Clay","Quarterfinals","Cristian J.","Kasatkina D.","Cristian J.","33.0","62.0","7-6(3) 3-6 6-2"
"Strasbourg","2026-05-21","Clay","Quarterfinals","Li A.","Bouzkova M.","Li A.","30.0","27.0","6-3 7-5"
"Strasbourg","2026-05-21","Clay","Quarterfinals","Mboko V.","Fernandez L.","Mboko V.","9.0","24.0","6-4 6-4"
"Strasbourg","2026-05-20","Clay","2nd Round","Cristian J.","Tauson C.","Cristian J.","33.0","21.0","6-1 7-5"
"Strasbourg","2026-05-20","Clay","2nd Round","Zhang S.","Parry D.","Zhang S.","74.0","94.0","6-2 7-5"
"Strasbourg","2026-05-20","Clay","2nd Round","Navarro E.","Jovic I.","Navarro E.","39.0","17.0","6-4 4-6 6-1"
"Strasbourg","2026-05-20","Clay","2nd Round","Bouzkova M.","Oliynykova O.","Bouzkova M.","27.0","66.0","3-1"
"Rabat","2026-05-20","Clay","2nd Round","Kalinina A.","Starodubtseva Y.","Kalinina A.","84.0","54.0","6-3 7-6(3)"
"Rabat","2026-05-20","Clay","2nd Round","Maria T.","Kabbaj Y.","Kabbaj Y.","52.0","334.0","6-2 6-4"
"Rabat","2026-05-20","Clay","2nd Round","Udvardy P.","Nahimana S.","Udvardy P.","68.0","231.0","6-4 6-1"
"Rabat","2026-05-20","Clay","2nd Round","Arango E.","Bondar A.","Bondar A.","98.0","58.0","7-6(6) 1-6 6-0"
"Rabat","2026-05-20","Clay","2nd Round","Marcinko P.","Kotliar Y.","Marcinko P.","76.0","483.0","5-7 6-2 7-6(1)"
"Rabat","2026-05-20","Clay","2nd Round","Osorio C.","Tjen J.","Osorio C.","77.0","41.0","6-3 3-6 6-0"
"Rabat","2026-05-20","Clay","2nd Round","Parks A.","Teichmann J.","Teichmann J.","80.0","207.0","6-3 6-4"
"Rabat","2026-05-20","Clay","2nd Round","Bouzas Maneiro J.","Ferro F.","Bouzas Maneiro J.","51.0","200.0","2-6 7-6(2) 6-3"
"Strasbourg","2026-05-19","Clay","2nd Round","Kasatkina D.","Stearns P.","Kasatkina D.","62.0","92.0","6-1 6-3"
