,price,surface,bedrooms,restrooms,location_name,tiene_ascensor,tiene_parking,tiene_piscina,tiene_terraza,es_costa,es_montana
0,630,85,3,2,A Coruña,0,0,0,0,1,0
1,450,70,3,1,A Coruña,0,0,0,0,1,0
2,600,90,3,2,A Coruña,1,0,0,0,1,0
3,650,80,3,1,A Coruña,0,0,0,0,1,0
4,650,80,3,1,A Coruña,1,0,0,0,1,0
5,525,55,1,1,A Coruña,1,1,0,0,1,0
6,850,75,2,2,A Coruña,1,0,0,0,1,0
7,600,85,3,1,A Coruña,1,0,0,0,1,0
8,630,84,3,1,A Coruña,0,0,0,0,1,0
9,650,72,3,2,A Coruña,1,0,0,0,1,0
10,750,110,4,2,A Coruña,0,0,0,0,1,0
11,600,60,3,1,A Coruña,1,0,0,0,1,0
12,675,71,2,2,A Coruña,1,0,0,0,1,0
13,500,52,1,1,A Coruña,1,0,0,0,1,0
14,450,36,1,1,A Coruña,0,0,0,0,1,0
15,675,90,3,2,A Coruña,1,0,0,0,1,0
16,500,86,3,1,A Coruña,1,0,0,0,1,0
17,570,75,3,1,A Coruña,0,0,0,0,1,0
18,750,100,3,2,A Coruña,0,0,0,0,1,0
19,650,36,1,1,A Coruña,1,0,0,0,1,0
20,550,46,1,1,A Coruña,1,0,0,0,1,0
21,500,90,3,2,A Coruña,0,0,0,0,1,0
22,700,90,2,2,A Coruña,0,0,0,0,1,0
23,630,72,2,1,A Coruña,1,0,0,0,1,0
24,575,57,1,1,A Coruña,0,0,0,0,1,0
25,475,64,3,1,A Coruña,0,0,0,0,1,0
26,900,100,2,2,A Coruña,0,0,0,0,1,0
27,575,65,2,1,A Coruña,1,0,0,0,1,0
28,600,100,4,2,A Coruña,1,0,0,0,1,0
29,550,90,3,1,A Coruña,1,0,0,0,1,0
30,400,50,2,1,A Coruña,0,0,0,0,1,0
31,450,66,3,1,A Coruña,1,0,0,0,1,0
32,600,30,1,1,A Coruña,1,0,0,0,1,0
33,600,69,3,1,A Coruña,0,0,0,0,1,0
34,450,60,2,1,A Coruña,0,0,0,1,1,0
35,490,70,1,1,A Coruña,0,0,0,0,1,0
36,1000,95,3,2,A Coruña,1,0,0,0,1,0
37,450,55,2,1,A Coruña,0,0,0,1,1,0
38,900,120,4,2,A Coruña,1,0,0,0,1,0
